text,true_label,predicted_label,shap_top_words,shap_word_importances,lime_top_words,lime_word_importances
Hi My name is Mike Cutler. I am a private lender who give out loan to private and corporate individuals. Have you been turned down by so many banks? Do you need finance to establish your business? Do you need finance for the expansion of you business? Or do you need a personal loan? Our loan ranges from  personal to business loan. Our interest rate is very affordable and our loan process is very fast as well. We are very willing to make all your financial troubles a thing of the past. Apply now!,1,1,"[""\u0120expansion"", ""\u0120for"", ""\u0120the"", ""\u0120past"", ""\u0120Or"", ""\u0120as"", ""\u0120well"", ""\u0120name"", ""\u0120My"", ""\u0120a""]","[2.6987806435691277e-05, 1.5671314926485615e-05, 1.5585056619545248e-05, 1.558503909333708e-05, 1.4038276123373132e-05, 8.556712538002697e-06, 8.556037181855858e-06, 8.063228881877402e-06, 8.060964141211867e-06, 7.507414585111915e-06]","[""Mike"", ""need"", ""My"", ""you"", ""affordable"", ""name"", ""rate"", ""fast"", ""as"", ""Cutler""]","[2.3197120278158656e-06, 1.6865618349622965e-06, 1.4932287093014277e-06, 1.412738344744828e-06, 1.3938392749314545e-06, 1.3572117189498041e-06, 1.3462379879171852e-06, 1.2897049631134287e-06, 2.6836280568463244e-07, 3.2788985829354716e-08]"
"Good Day,

Were you in receipt of my email regarding the business proposal as per the deposit? Let me know if you are still interested.

Warmth Regard,
Mr. Hakan Faal",1,1,"[""\u0120Day"", ""Mr"", ""."", ""\u0120Fa"", ""al"", ""Were"", ""\u010a"", "","", ""\u0120email"", ""\u0120regarding""]","[1.9566621782966347e-05, 7.369744139396062e-06, 7.369524488846461e-06, 4.778737093147356e-06, 4.775822162628174e-06, 2.5862991606118158e-06, 2.421004076798757e-06, 2.4203213229156972e-06, 2.388486109339283e-06, 2.386048436164856e-06]","[""deposit"", ""Mr"", ""you"", ""business"", ""Regard"", ""email"", ""interested"", ""Were"", ""receipt"", ""Good""]","[0.002033389872038315, 0.0019986421907029436, 0.0019559358991122835, 0.0019432991470552726, 0.001831630077800258, 0.0017107059763982041, 0.0016830949674698453, 0.0016775419665328922, 0.0016186115400472715, 0.0013840214577121918]"
"
I can help you with a Loan if you are in need, I will advice you to [brown_tomloans@mcom.com] with the amount you need.",1,1,"[""\u0120can"", ""\u0120help"", ""tom"", ""lo"", ""."", ""</s>"", ""ans"", ""@"", ""m"", ""\u0120[""]","[3.825490466624615e-06, 3.822147846221924e-06, 3.7522940525983967e-06, 3.7499082585175833e-06, 3.122498659043534e-06, 3.1214828292528787e-06, 1.3981434070349982e-06, 1.3923893372217814e-06, 1.0444164217915386e-06, 6.40377402305603e-07]","[""you"", ""mcom"", ""Loan"", ""need"", ""help"", ""to"", ""brown_tomloans"", ""com"", ""I"", ""in""]","[0.0009494301587577871, 0.0007660783172394475, 0.000750994756731823, 0.0007226171832548886, 0.0005644767172450742, 0.0005127628391281764, 0.0004582061632859243, 0.0003529020551403388, 0.0002883490584872889, 0.00026522054236592516]"
"    Am Mrs. Khryston McGinity, a US citizen of 58 years old, Resident at 108 Crockett Court. Apt 303, New Brunets Texas, United States. I am one of those that took part in the Scam Compensation program in Nigeria a year ago without success.    Attached below is full details, read and respond immediately.

And that's all she wrote!",1,1,"[""\u0120Kh"", ""ry"", ""\u010a"", ""And"", ""\u0120read"", ""\u0120and"", ""\u0120States"", ""am"", ""\u0120Sc"", "".""]","[2.9347166183959835e-05, 2.934181919464698e-05, 2.1550121540625463e-05, 2.1547054184630594e-05, 1.667339008646177e-05, 1.6669943636538936e-05, 1.2368947663817635e-05, 9.615492674854252e-06, 9.613626234313669e-06, 8.561158233087376e-06]","[""wrote"", ""Nigeria"", ""Mrs"", ""Am"", ""old"", ""Scam"", ""Resident"", ""Compensation"", ""Khryston"", ""McGinity""]","[0.005504503135967519, 0.004706916305796544, 0.0044699292845070925, 0.0039681274583834815, 0.003600923021022758, 0.0035415278189361854, 0.003385679275557013, 0.0032830783425337753, 0.002438718779145513, 0.0019650873293179764]"
"
This is for your attention.

We inform you again that you were listed as a beneficiary to the total sum of Four million Six hundred Thousand British Pounds Sterling in the intent of the deceased (names now withheld since this is our second letter to you). We contacted you because you bear the same surname identity and therefore can present you as the beneficiary to the inheritance since there is no written will.

In your acceptance of this deal, kindly email to us your physical address,phone number,mobile number,fax and private email, if diferrent from the one presently used in contacting you, to enable us file the required and relevant documents at our High court probate division for the release of this sum of money to you as the beneficiary.

We will advise you further when we hear from you.

Yours faithfully,
Raymond Ho
[ray.ho247@hotmail.com]",1,1,"[""\u0120number"", ""phone"", ""\u0120address"", ""fax"", ""\u0120your"", ""\u0120physical"", ""\u0120kindly"", ""\u0120written"", ""\u0120release"", ""mobile""]","[3.0093811070206746e-05, 2.2561466842750113e-05, 2.034736205970473e-05, 1.989360573205561e-05, 1.9433566357487118e-05, 1.9433075128783652e-05, 1.9431680747596667e-05, 1.228317212390103e-05, 1.1265931434967076e-05, 9.169703782806924e-06]","[""We"", ""In"", ""Sterling"", ""to"", ""now"", ""no"", ""is"", ""of"", ""intent"", ""the""]","[1.1576421251378745e-06, 8.667458946151262e-07, 5.843555633300803e-07, 5.472215175759814e-07, 4.327790974004938e-07, 4.137348572450612e-07, 2.7619452924927947e-07, 2.7028231940967654e-07, 2.6814283897286577e-07, 1.7743126162879342e-07]"
"we are pleased to announce the creation of a new business unit  ) enron
industrial markets  ) within our wholesale energy business . enron industrial
markets will be responsible for leading all worldwide business activities in
the paper , pulp , lumber , and steel markets , including trading , origination
and energy outsourcing activities .
enron industrial markets is being created to accelerate the growth of enron
north america  , s existing paper , pulp , & lumber business and to establish and
grow a new business in the steel market . the formation of enron industrial
markets will allow the enron north america and enron europe management to
continue to focus its efforts on the aggressive expansion of our core gas and
electricity business . as a standalone business unit , enron industrial
markets can accelerate the growth of the paper , pulp & lumber and steel
businesses into major contributor  , s to enron  , s overall growth and , working
closely with enron networks , position enron as the leader in the
transformation of these industries into new economy markets .
enron industrial markets will be headed by jeff mcmahon , president and chief
executive officer , and ray bowen , chief operating officer . they will report
to mark frevert who will be chairman of enron industrial markets . mark ,
jeff , and ray will comprise the office of the chairman for enron industrial
markets .
included in this new business unit and reporting to the office of the
chairman will be the following individuals and their respective groups :
pulp , paper , & lumber origination bryan burnett
pulp , paper & lumber trading bob crane
steel trading greg hermans
transaction development rodney malcolm
enron industrial markets has established an operating group to manage the
operations of physical assets . this unit will temporarily report to the
enron industrial markets office of the chairman .
coincident with the establishment of enron industrial markets , all energy
outsourcing activities associated with industries other than paper , pulp ,
lumber and steel will be the responsibility of enron energy services .
with jeff mcmahon  , s departure from enron networks , louise kitchen will assume
the role of president and chief operating officer .
please join us in congratulating these individuals for their new roles .",0,0,"[""\u0120within"", ""\u0120wholesale"", ""\u0120)"", ""industrial"", ""and"", ""\u0120outsourcing"", ""\u0120is"", ""\u0120created"", ""\u0120being"", ""north""]","[0.047378092574945185, 0.047378092574945185, 0.027360357802535873, 0.02056831187132957, 0.01276772882861404, 0.01276772882861404, 0.01276772882861404, 0.01276772882861404, 0.012767728781357988, 0.009184094769583973]","[""enron"", ""markets"", ""the"", ""announce"", ""and"", ""will"", ""we"", ""leading"", ""business"", ""worldwide""]","[0.2990106810529409, 0.11178908442826739, 0.09117946486701166, 0.08947331532263451, 0.06895634996855822, 0.05185835071275149, 0.04881671336440298, 0.0465757697217772, 0.04638779753113109, 0.03525373713879058]"
"fyi , kim .
- - - - - original message - - - - -
from : frazier , perry
sent : thursday , march 07 , 2002 2 : 25 pm
to : lebeau , randy ; watson , kimberly ; abdmoulaie , mansoor
subject : re : re ivanhoe e . s . d
just a couple of additional thoughts , the cost estimate for esd mods of $ 130 , 000 will typically be , about 25 % more . the e abdmoulaie , mansoor ; frazier , perry
subject : fw : re ivanhoe e . s . d
here is an estimate for the upgrade to the ivanhoe esd system . please keep in mind that the hp at the location has not been in operation for several years and if it is ever required , we may be looking a major expense for that , too . ( $ 200 , 000 + or - )
- - - - - original message - - - - -
from : jordan , fred
sent : thursday , march 07 , 2002 7 : 24 am
to : lebeau , randy
subject : re ivanhoe e . s . d
fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by fred jordan / et & s / enron on 03 / 07 / 2002 07 : 10 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
>
eddie pool
03 / 07 / 2002 07 : 13 am
to : fred jordan / et & s / enron @ enron
cc :
subject : re ivanhoe e . s . d
fred
here is what i came up with on the ivanhoe station .
>",0,0,"[""ber"", ""ly"", ""just"", ""\u0120couple"", ""\u0120additional"", ""\u0120thoughts"", ""\u0120k"", ""atson"", ""im"", ""\u01202""]","[0.04383136881598113, 0.043831368436212846, 0.028029259553648815, 0.028029259553648815, 0.027446211575068817, 0.02744620984156038, 0.023565729026064478, 0.023565729026064478, 0.023565727499120205, 0.013299742576740907]","[""sent"", ""from"", ""to"", ""subject"", ""just"", ""pm"", ""estimate"", ""message"", ""more"", ""mods""]","[0.014952147152063928, 0.014792184512324972, 0.013786662139181869, 0.013589262229147768, 0.012329147335347432, 0.00955444888760428, 0.009026118329934586, 0.007852313537078869, 0.005779567948115432, 0.005627178280240356]"
"In line with the joint agreement signed by the board of trustees of Lloyds Bank and the depositor of the fund, the management has mandated us to pay you the accrued interest pending when approvals would be granted on the principal Sum. In view of the above, you are hereby required to complete the attached questionnaire form, affix your passport photograph, signed in the specified column and return back to us via email for the processing of the transfer of your accrued interest.

Do not hesitate to ask question(s) where you consider necessary for clarification.

Yours faithfully,
 Churchill Woods 
Chief Credit Officer,
Lloyds Bank, Dartford, United Kingdom",1,1,"[""ford"", ""\u0120Dart"", ""\u0120Kingdom"", ""</s>"", "","", ""\u0120United"", ""ix"", ""\u0120be"", ""\u0120would"", ""\u0120Sum""]","[1.1175573951956155e-05, 1.1175262257247464e-05, 8.634631471714005e-06, 8.633657210115073e-06, 7.61848006758542e-06, 7.616990394350411e-06, 7.01866899748204e-06, 5.9604286574400385e-06, 5.960091188264927e-06, 5.491304763475058e-06]","[""Do"", ""faithfully"", ""interest"", ""email"", ""affix"", ""accrued"", ""your"", ""of"", ""questionnaire"", ""approvals""]","[0.00033033455288808476, 0.0003259610676454801, 0.00031337526344719333, 0.000313245934099201, 0.0003075232941820537, 0.000292638155575268, 0.0002866192777684952, 0.0002032128986571955, 0.0001468522614645178, 8.400410153857832e-05]"
"fyi , kim .
- - - - - original message - - - - -
from : frazier , perry
sent : thursday , march 07 , 2002 2 : 25 pm
to : lebeau , randy ; watson , kimberly ; abdmoulaie , mansoor
subject : re : re ivanhoe e . s . d
just a couple of additional thoughts , the cost estimate for esd mods of $ 130 , 000 will typically be , about 25 % more . the e abdmoulaie , mansoor ; frazier , perry
subject : fw : re ivanhoe e . s . d
here is an estimate for the upgrade to the ivanhoe esd system . please keep in mind that the hp at the location has not been in operation for several years and if it is ever required , we may be looking a major expense for that , too . ( $ 200 , 000 + or - )
- - - - - original message - - - - -
from : jordan , fred
sent : thursday , march 07 , 2002 7 : 24 am
to : lebeau , randy
subject : re ivanhoe e . s . d
fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by fred jordan / et & s / enron on 03 / 07 / 2002 07 : 10 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
>
eddie pool
03 / 07 / 2002 07 : 13 am
to : fred jordan / et & s / enron @ enron
cc :
subject : re ivanhoe e . s . d
fred
here is what i came up with on the ivanhoe station .
>",0,0,"[""ber"", ""ly"", ""just"", ""\u0120couple"", ""\u0120additional"", ""\u0120thoughts"", ""\u0120k"", ""atson"", ""im"", ""\u01202""]","[0.04383136881598113, 0.043831368436212846, 0.028029259553648815, 0.028029259553648815, 0.027446211575068817, 0.02744620984156038, 0.023565729026064478, 0.023565729026064478, 0.023565727499120205, 0.013299742576740907]","[""sent"", ""subject"", ""from"", ""just"", ""to"", ""estimate"", ""original"", ""watson"", ""couple"", ""thoughts""]","[0.009340736365714739, 0.009076673362406232, 0.008393197095259652, 0.007583219269700696, 0.007383275438339253, 0.005224745906682048, 0.00508472435782792, 0.005031349550094707, 0.004895872382616368, 0.0042978600235542615]"
"
REQUEST FOR CONFIDENTIAL BUSINESS RELATIONSHIP

First I must solicit your confidence in this transaction and it's in the light of our search for a trustworthy individual to work with us on a very important project, that we decided using this medium to reach you for a transaction/business of this magnitude, as it's due to the confidentiality and prompt access reposed on it.

I am a high placed official working with Department of Finance & Economic Affairs, in Cape Town South Africa. I and two other colleagues are currently in need of a silent foreign partner whose identity we can use to transfer the sum of Twenty Six Million Five Hundred Thousand Dollars. This fund ac crued legitimately to us as commission from foreign contracts, through our private connections.

The fund is presently waiting to be remitted from First National Bank (F.N.B) here in South Africa to any overseas beneficiary confirmed by us as associate/receiver. By virtue of our positions as civil servants in my country, we cannot acquire this fund in our names.  Because as high placed civil servants, we are not allowed by the civil service code of conduct to own or operate bank accounts outside the shores our home country. 

I have been mandated as a matter of trust by my colleagues, to look for an overseas silent partner who could work with us to facilitate transfer of this fund for our mutual benefit, hence the reason for this email. What I am requesting from you is: 
(1) to be our silent partner and receive the funds as the sole benefactor to the contract amount which we shall secur e all legal documentation to authenticate our claim. 
(2) Provide a private telephone and fax number for easy communication under your control. 
(3)Receive the funds as the beneficiary, take out your commission and keep the rest of the funds until I and my colleagues arrive in your country for the split after the transfer is completed. 

My proposal is that after you receive the funds, it would be shared as follows: (1) 20% to you as commission for your co-operation and assistance in facilitating the transfer, while the remaining 75% belongs to me and my colleagues. You will be free to make deductions of the agreed percentage allocated to you at confirmation of receipt of the funds in your nominated account in your home country, as such account could be a newly opened one specifically for this transaction with zero balance since our objective is to invest the money in a foreign land. The remaining 5% is set aside for servicing all expenses incurred by both parties like faxes and telephone calls. 

However, this is optional, and if it is not convenient for you to further assist us with investing the funds, we can end our relationship after discharging our obligations.

The transaction, although discrete, is legitimate and the funds will be transferred successful with all necessary back-up official documents showing legitimate source/origin of fund. The transfer will be affected within a period not longer than two weeks as soon as we reach an  agreement and you furnish me with a suitable response indicating your interest for processing the transfer. I plead with you on one issue, whether you are interested or not, kindly do not expose this information to any one else.

I confirm that the transaction is legitimate and without any risks either to yourself or us. Please, give me your response immediately by return mail through my alternate email: [dr.cyrilluthuli@mailbox.co.za]
Yours Faithfully,


Cyril J. Luthuli (Dr)
South Africa",1,1,"[""\u0120magnitude"", ""\u0120important"", ""\u0120project"", ""\u0120medium"", ""itted"", ""\u0120First"", ""\u0120National"", ""\u0120individual"", ""\u0120very"", ""\u0120search""]","[4.311360305908954e-05, 2.5712319425661974e-05, 2.5711607921755675e-05, 2.3896693450655164e-05, 1.0932371626925464e-05, 1.0932371626925464e-05, 1.0931109254424637e-05, 9.713214522531471e-06, 9.202518302834395e-06, 9.129919531556935e-06]","[""account"", ""longer"", ""although"", ""receipt"", ""confirmed"", ""matter"", ""email"", ""alternate"", ""use"", ""optional""]","[2.0350562591760148e-06, 2.031556674170993e-06, 2.0140231580294323e-06, 1.9708171977996494e-06, 1.9238030634196755e-06, 1.6956882328343726e-06, 1.6304189418174714e-06, 1.620506421403198e-06, 1.541983530390682e-06, 1.3770695804422326e-06]"
"United Nations Washington DC.
@UNWashington · Organization
World Bank - IMF Assist Programme.
1775 K St NW Ste 500. Washington D.C., DC.
Our Ref#: WBG/IMF-NF/UNO/XX020
Motto:- A Stronger United Nations for a Better World

Hello, dear. This email letter/message is officially inform you, that after proper and several investigations by United State Federal Bureau of Investigation (FBI), responsible for conducting sensitive national security investigations together with the Office of Central Intelligence Agency (CIA), International Monetary Fund (IMF) and United Nations (UN) at the Western Union, Money Gram, we found your name among those that have sent money through Western Union, Cash App, Zelle, Venmo, Bank Transfer/Deposit and Money Gram, Ria Money Transfer in the course of receiving an Inheritance Fund, Lottery Award Winning Prize, Compensation Funds, which none cent was paid or received by you, from those hoodlums. It proves that you have truly been swindled by those unscrupulous persons by sending money to them through the above mentioned means.

To this regard UN | United Nations (UN) held a meeting with United States Department of Justice (DOJ), INTERNATIONAL MONETARY FUND (IMF) Federal Bureau of Investigation (FBI), Director. WESTERN UNION and MONEY-GRAM Board of Directors, alongside with the MINISTRY of FINANCE. As a result of our investigations it was agreed that the sum of Two Million Five Hundred Thousand United States Dollars (US $2, 500,000.00 Dollars) should be transferred to you and other 250 scam victims like you whose names, email and phone number has been discovered as one of the scam victims, from the funds set aside by The UN | United Nations in collaboration with the United States Department of the Treasury and World Bank Groups to compensate all scam victims.

The compensation scheme is open to people who wired money to scammers through Bank Wire Transfer, Western Union, Money-gram, Ria Money Transfer ETC. between January 1, 2004 to August 30, 2020, the deadline for lodging these claims is December 24, 2020.

This case is being handled and supervised by the US - FBI Director / Central Intelligence Agency (CIA), furthermore; your details and you're $2.5 Millon USD Compensation Payment file, has been submitted to the Desk of Mr. Jamie Dimon, the JP Morgan Chase & Co. (JPM) Chairman Board of Director and CEO , for the transfer your Compensation funds $2.5 Million USD to you.

Quickly Contact the JP Morgan Chase & Co. (JPM) Chairman Board of Director / CEO, Mr. Jamie Dimon with below:

Contact Person: Jamie Dimon
CEO / Chairman Board of Director
JP Morgan Chase & Co. (JPM)
Email: jamie.dimonco@aol.com

Ensure to write this Office as soon as you have successfully claimed your $2.5 Million USD Approved Settlement Compensation Funds from JP Morgan Chase & Co. (JPM).

Yours Faithfully,
William O. Harrison Sr.
CC: US Federal Law Enforcement
CC: Federal Bureau of Investigation
CC: US Department of Justice (DOJ),
CC: FBI Director",1,1,"[""\u0120Strong"", ""\u0120A"", ""\u0120Better"", ""75"", ""\u0120K"", ""er"", ""\u0120D"", ""\u0120Washington"", ""\u0120among"", ""otto""]","[1.9878156424041778e-05, 1.9878045945699253e-05, 1.44587755794563e-05, 9.795592307325152e-06, 9.79537181260567e-06, 9.334965993513747e-06, 7.923414804757893e-06, 7.922381221775025e-06, 7.576299926645211e-06, 7.465543260170509e-06]","[""Hello"", ""Compensation"", ""one"", ""number"", ""name"", ""Ref"", ""XX020"", ""Ensure"", ""Motto"", ""1""]","[0.00048632668765341184, 0.00016181871861873764, 0.0001394558874245685, 0.00011641396511975424, 0.00010389418770289121, 9.608107964062017e-05, 8.36392900265197e-05, 7.862860398961159e-05, 2.3867613673574793e-05, 1.996527085359669e-05]"
"I appreciate your speaking with me today. Per our conversation, please find attached invoice.

Please do not hesitate to contact me with any questions you may have. Thank you for your time and consideration.

Sincerely,
Jeanette Daniel

Harris & Harris Group, Inc.
Tel.: +1 (110) 536-23-59

    I…7.zip",1,1,"[""\u0120with"", ""\u0120me"", ""\u0120any"", ""\u0120questions"", ""\u0120do"", ""Please"", ""\u0120not"", ""\u0120hesitate"", ""\u0120have"", ""\u0120you""]","[3.216998237702582e-05, 3.2169543608991565e-05, 2.3085553713523647e-05, 2.3082592007186678e-05, 2.2573344823386935e-05, 2.2573111474836576e-05, 1.7795154159709153e-05, 1.779333170917299e-05, 1.684920005876241e-05, 9.809393021795485e-06]","[""Sincerely"", ""Please"", ""invoice"", ""your"", ""Inc"", ""contact"", ""you"", ""Thank"", ""conversation"", ""Jeanette""]","[0.004311210893119034, 0.004215060972387019, 0.004189109377615833, 0.003848672822506518, 0.0038444861989080756, 0.0035720950393244026, 0.003450859646846876, 0.0034270960158742534, 0.003415864108939636, 0.00324070797181821]"
"
I am (Mr Zalata Soso.) a senior staff in file department in Bank Of Africa(BOA)I got your contact from a Yahoo google Search. When i was searching for a foreign partner i assured of your capability and reliability to champion this businees opportunity when i prayed to God or Allah about you.In my department we discover an abandoned sum of $ 15 million U.S.A dollars (fifteen million U.S.A dollars)In an account that belongs to one of our foreign customer MR Andrew Kim who died a long with his entier family in a plane crash on(friday december26,2003, 13:22 GMT 14:22UK ). Since we got information about his death,we have

been expecting his next of kin to come over and claim his money The request of foreigner as next of kin in this business is occasioned by the fact that the customer was aforeigner, and a Burkinabe cannot stand as next of kin to a foreigner. We agree that 30% of this money will be for you as foreign partner, in respect to the provision of a foreign account, 10 % will be set aside for expenses incured during the business and 60 % would be for me, I will send to you by fax or email the text of the application I will not fail to bring to your notice that this transaction is hitch free and that you should not entertain any atom of fear as all required arrangements have been made for the transfer.

Your Full Name......?
Your Sex.....?
Your Age...... ?
Your Country.......?
Marital Status......?
Your Photograph.......?
Your Occupation.......?
Your Personal Mobile N.......?

Immediately as soon as you receive this letter.And with those informations i need from you, for me to process the text of application for you to apply to the bank.

Yours faithfully,
Mr Zalata Soso.",1,1,"[""\u0120am"", ""\u0120about"", ""\u0120The"", ""\u0120over"", ""\u0120opportunity"", ""\u0120when"", ""\u0120claim"", ""\u0120his"", ""\u0120on"", ""\u0120crash""]","[5.349650624945449e-05, 5.900823696635518e-06, 5.368306482023047e-06, 5.086691033622713e-06, 4.9123114988226235e-06, 4.911572231273902e-06, 4.555074100037103e-06, 4.550605261510657e-06, 3.94985521324056e-06, 3.949536389403912e-06]","[""N"", ""december26"", ""request"", ""Mobile"", ""2003"", ""arrangements"", ""aforeigner"", ""friday"", ""family"", ""Since""]","[1.0573882906718048e-05, 1.0486827057101977e-05, 4.826785559056014e-06, 4.701361343175216e-06, 4.5594506732147765e-06, 2.7457600149558716e-06, 2.1189667043093088e-06, 1.6167252323013194e-06, 1.4812087573333424e-06, 1.2529920772115097e-06]"
"
Notification of Bequest. Hadrian Chucho West Field Chambers On behalf of the Trustees and Executors of the estate of Late Engr. Marvin Ballenger, I once again try to notify you as my earlier letter was returned undelivered.

I hereby attempt to reach you again by this same email address on the will. I wish to notify you that late Engr.Marvin Ballenger made you a beneficiary to his will, he left the sum of Nine Million One Hundred Thousand Dollars (USD$9,100.000.00 )to you in the codicil and last testament to his will.

This may sound strange and unbelievable to you, but it is real and true. Being a widely traveled man, he must have been in contact with you in the past or simply you were nominated to him by one of his numerous friends abroad who wished you good. Engr. Marvin Ballenger until his death was a former managing director of a giant construction company. He was a very dedicated Christian who loved to give.

His great philanthropy earned him numerous awards during his life time. Late Engr. Marvin Ballenger died on the 9th day of February 2005 at the age of 82 years, and his ""WILL"" is now ready for execution. According to him this money is to support philanthropic activities and to help the poor and the needy. Please

If I reach you as I am hopeful, endeavor to get back to me as soon as possible by email to enable me conclude my job, you should forward along your current telephone number, fax number, including your current mailing address. I hope to hear from you in no distant time.

Yours in His service,
Hadrian Chucho
[hadrianchucho@rediffmail.com]
(West Field Chambers)",1,1,"[""\u0120abroad"", ""\u0120once"", ""\u0120behalf"", ""ors"", ""\u0120On"", ""\u0120estate"", ""\u0120try"", ""\u0120wished"", ""\u0120good"", ""\u0120friends""]","[2.9402690551157374e-05, 1.626064706646622e-05, 1.3340848922005147e-05, 1.3075039011389503e-05, 1.0317435876327978e-05, 8.167384580570684e-06, 7.451206351780743e-06, 6.740020990928672e-06, 6.740020990928672e-06, 5.488055666872099e-06]","[""beneficiary"", ""until"", ""Hadrian"", ""WILL"", ""Chambers"", ""February"", ""last"", ""USD"", ""On"", ""Engr""]","[0.0002514260769899814, 0.00024684518560980193, 0.00012603402503817975, 5.454637777643568e-05, 4.244049146593671e-05, 4.085466130807205e-05, 3.534438778263761e-05, 2.9576720105517546e-05, 2.545099303080916e-05, 2.2928072315876826e-05]"
"good afternoon john ,
i just want to drop you a line to update you re : andy fastow . i have
confirmed a one hour interview slot with mr . fastow in monday , december 4 th
from
11 : 00 a . m . - noon . this is in addition to your schedule interviews with mr .
lay and mr . skilling - outline below .
if you have any questions , please do not hesitate to contact me at
713 - 853 - 5670 .
regards ,
cindy
- - - - - forwarded by cindy derecskey / corp / enron on 11 / 06 / 2000 04 : 49 pm - - - - -
cindy derecskey
10 / 31 / 2000 01 : 44 pm
to : "" john martin ""
cc : vince j kaminski / hou / ect @ ect , christie patrick / hou / ect @ ect
subject : re : enron case study
good afternoon john ,
i hope things are well with you . i am writing to update you on the status of
your meetings with andy fastow , ken lay and jeff skilling . i have arranged
the following meeting dates and times with ken lay and jeff skilling , ( i am
still trying to work with andy fastow ' s schedule ) :
jeff skilling
december 4 th
2 : 00 - 3 : 00 p . m .
ken lay
december 4 th
3 : 30 - 4 : 30 p . m .
also , i will attempt to schedule the meeting with andy fastow for december
4 th for convenience - this will also allow us to possibly schedule additional
meetings for the 5 th ( as needed ) . i will let you know as soon as i ' m
successful .
regards ,
cindy derecskey
university affairs
enron corp .",0,0,"[""\u0120just"", ""\u0120your"", ""\u0120interviews"", ""\u0120mart"", ""in"", ""\u0120\"""", ""if"", ""\u0120below"", ""\u0120outline"", ""ie""]","[0.06888263399544443, 0.045556951954246534, 0.045556951954246534, 0.03030930588781457, 0.030309303063498078, 0.026842422213550616, 0.025525158253341878, 0.021508850677547934, 0.02150884827164821, 0.020022228305859036]","[""i"", ""if"", ""confirmed"", ""to"", ""want"", ""lay"", ""from"", ""you"", ""good"", ""hesitate""]","[0.0378170603924834, 0.03020376890026084, 0.02742499664208014, 0.023425511766887692, 0.021081310221458448, 0.021067190021791218, 0.018938522551837162, 0.018437904888478244, 0.012809299436021757, 0.007191664831797195]"
"there are clearly a large number of people who need to know what is happening
on the integration of the mg metals business and a large number of fluid
teams working on different aspects of the project ; however , most issues
related to the integration process will only be of interest to a subset of
the people involved .
we currently have two main forums for information sharing available to
members of the integration team :
the weekly newsletter produced by fiona grant in pr , which from 30 june
onwards will be sent to eel management and the heads of those departments
represented on the integration team .
a weekly meeting on friday mornings from 8 am to 9 am in nwl 006 , which has been
put in place to provide team leaders with an opportunity to update the entire
integration team on their top two or three issues for the past and / or coming
week .
for now , i expect the weekly update and the weekly meetings to meet the
information needs of the integration team . if you feel this is not adequate ,
then let either myself or fiona grant know and we ' ll do a re - think on the
subject .
to this end , and in the interests of ensuring that we conclude our discussion
in the allotted time , the following are a few organisational points i would
like everyone to bear in mind when attending the friday morning meeting :
attendees should distinguish between presenters and audience at the weekly
meeting .
presenters should attend if at all possible and , in the event they are unable
to attend , should nominate a replacement for the meeting ( replacements should
be notified to esther gerratt in advance of the friday morning meeting if
possible ) .
for the time being , presenters and their designated areas are :
- eric gadd commercial and acquisition progress
- amita gosalia eol
- justin boyd legal
- toby knight premises
- barry sangster it infrastructure
- bob campbell it applications
- richard sage middle and back offices and project management
- lloyd fleming rac
- tim davies credit
- anne edgley finance
- anne hicks cash management
- janine juggins tax
- andrea kerch us gaap and due diligence
- nigel sellens hr
- fiona grant pr
- bruce garner business development
as this is intended to be an "" update "" - only meeting , any unresolved
substantive issues are to be taken off - line and the resolution reported the
following week .
lastly , i would request that presenters focus on communicating , in an
efficient manner , things which affect other functions within the integration
process . doing so will assit other presenters in relaying the information
presented at the meeting to other personnel in their respective areas .
i hope you find this useful . we want to keep the information flowing as we
continue the integration process , but at the same time we need to make sure
we use our time wisely and efficiently .
regards ,
eric",0,0,"[""\u0120needs"", ""information"", ""\u0120meetings"", ""\u0120meet"", ""\u0120team"", ""\u0120feel"", ""\u0120not"", ""\u0120mg"", ""\u0120metals"", ""\u0120currently""]","[0.05611198912385163, 0.056111983444450515, 0.05601913502139904, 0.05601913502139904, 0.0271831535628571, 0.0271831535628571, 0.02718315210987786, 0.02175786564669757, 0.021757864784073527, 0.01700011800707884]","[""we"", ""the"", ""to"", ""project"", ""issues"", ""integration"", ""team"", ""on"", ""clearly"", ""need""]","[0.029995659360854764, 0.026512567849053377, 0.025140555770913696, 0.023950898630365487, 0.022350108573701583, 0.019380820437552446, 0.017644037284624072, 0.017554587697929627, 0.016142786027474352, 0.011980386081302658]"
